customer_id;first_name;last_name;phone;email;street;city;state;zip_code
29;Syreeta;Hendricks; (845) 615-3298;syreeta.hendricks@msn.com;193 Spruce Road ;Mahopac;NY;10541
30;Jamaal;Albert; (715) 127-5251;jamaal.albert@gmail.com;853 Stonybrook Street ;Torrance;CA;90505
31;Williemae;Holloway; (702) 561-0844;williemae.holloway@msn.com;69 Cypress St. ;Oakland;CA;94603
32;Araceli;Golden; (603) 822-7234;araceli.golden@msn.com;12 Ridgeview Ave. ;Fullerton;CA;92831
33;Deloris;Burke; (506) 869-3221;deloris.burke@hotmail.com;895 Edgemont Drive ;Palos Verdes Peninsula;CA;90274
34;Brittney;Woodward; (380) 707-8535;brittney.woodward@aol.com;960 River St. ;East Northport;NY;11731
35;Guillermina;Noble; (902) 640-3947;guillermina.noble@msn.com;6 Del Monte Lane ;Baldwinsville;NY;13027
36;Bernita;Mcdaniel; (682) 157-7923;bernita.mcdaniel@hotmail.com;2 Peg Shop Ave. ;Liverpool;NY;13090
37;Melia;Brady; (213) 597-5488;melia.brady@gmail.com;907 Shirley Rd. ;Maspeth;NY;11378
38;Zelma;Browning; (415) 028-3041;zelma.browning@aol.com;296 Second Street ;Astoria;NY;11102
39;Janetta;Aguirre; (519) 964-6860;janetta.aguirre@aol.com;214 Second Court ;Lancaster;NY;14086
40;Ronna;Butler; (919) 816-7431;ronna.butler@gmail.com;9438 Plymouth Court ;Encino;CA;91316
41;Kathie;Freeman; (848) 309-2403;kathie.freeman@msn.com;667 Temple Dr. ;Queensbury;NY;12804
42;Tangela;Quinn; (325) 980-1573;tangela.quinn@aol.com;4 S. Purple Finch Road ;Richmond Hill;NY;11418
43;Mozelle;Carter; (901) 858-7736;mozelle.carter@aol.com;895 Chestnut Ave. ;Houston;TX;77016
44;Onita;Johns; (812) 957-6051;onita.johns@msn.com;32 Glen Creek Lane ;Elmont;NY;11003
45;Bennett;Armstrong; (305) 486-6491;bennett.armstrong@aol.com;688 Walnut Street ;Bethpage;NY;11714
46;Monika;Berg; (520) 583-3144;monika.berg@gmail.com;369 Vernon Dr. ;Encino;CA;91316
47;Bridgette;Guerra; (636) 235-3131;bridgette.guerra@hotmail.com;9982 Manor Drive ;San Lorenzo;CA;94580
48;Cesar;Jackson; (734) 880-6497;cesar.jackson@gmail.com;8068 N. Griffin Ave. ;Liverpool;NY;13090
49;Caroll;Hays; (513) 437-4375;caroll.hays@yahoo.com;9381 Wrangler St. ;Fairport;NY;14450
50;Cleotilde;Booth; (709) 796-5985;cleotilde.booth@gmail.com;17 Corona St. ;Sugar Land;TX;77478
51;Gertrud;Rhodes; (610) 243-3015;gertrud.rhodes@aol.com;9961 Meadowbrook Street ;Merrick;NY;11566
52;Tu;Ramirez; (609) 405-8729;tu.ramirez@hotmail.com;24 W. Courtland Street ;East Elmhurst;NY;11369
53;Saturnina;Garner; (234) 187-3772;saturnina.garner@gmail.com;8538 Fairground St. ;Glendora;CA;91740
54;Fran;Yang; (818) 532-3698;fran.yang@hotmail.com;440 Pearl St. ;Utica;NY;13501
55;Diana;Guerra; (610) 130-4350;diana.guerra@hotmail.com;45 Chapel Ave. ;Merrick;NY;11566
56;Lolita;Mosley; (563) 954-1004;lolita.mosley@hotmail.com;376 S. High Ridge St. ;Houston;TX;77016
57;Pamala;Henry; (367) 604-6105;pamala.henry@aol.com;197 Bridgeton Ave. ;Bronx;NY;10451
58;Damien;Dorsey; (872) 256-4861;damien.dorsey@yahoo.com;161 Old York Street ;Central Islip;NY;11722
59;Latasha;Stanley; (551) 265-9746;latasha.stanley@gmail.com;8068 Fordham Drive ;Rockville Centre;NY;11570
60;Neil;Mccall; (212) 571-6205;neil.mccall@gmail.com;7476 Oakland Dr. ;San Carlos;CA;94070
61;Elinore;Aguilar; (256) 296-3653;elinore.aguilar@msn.com;9766 Rockcrest Ave. ;San Angelo;TX;76901
62;Alica;Hunter; (870) 650-0742;alica.hunter@hotmail.com;8 San Juan Drive ;East Elmhurst;NY;11369
63;Tenisha;Lyons; (316) 471-9118;tenisha.lyons@aol.com;78 E. Rock Creek Street ;Amityville;NY;11701
64;Bobbie;Foster; (423) 421-2805;bobbie.foster@yahoo.com;988 Pineknoll Ave. ;Desoto;TX;75115
65;Kanesha;Vega; (845) 444-0873;kanesha.vega@gmail.com;771 E. Oxford Drive ;Rome;NY;13440
66;Lorrie;Becker; (623) 901-0879;lorrie.becker@yahoo.com;19 North Court ;Garland;TX;75043
67;Tommie;Melton; (501) 650-8229;tommie.melton@gmail.com;8 West Old York St. ;Sacramento;CA;95820
68;Jayne;Kirkland; (860) 559-2121;jayne.kirkland@hotmail.com;7800 Second Lane ;Rowlett;TX;75088
69;Katelin;Kennedy; (534) 407-8706;katelin.kennedy@gmail.com;286 Myrtle Lane ;Rocklin;CA;95677
70;Tomasa;Carson; (567) 484-6483;tomasa.carson@aol.com;10 Clark Avenue ;East Elmhurst;NY;11369
71;Takako;Casey; (718) 879-9290;takako.casey@aol.com;7548 Court Lane ;Bronx;NY;10451
72;Petronila;Norris; (231) 734-6289;petronila.norris@aol.com;72 South Marshall Lane ;South El Monte;CA;91733
73;Melanie;Hayes; (270) 535-1870;melanie.hayes@msn.com;5 N. Hall Dr. ;Liverpool;NY;13090
74;Georgeann;Waller; (870) 062-6573;georgeann.waller@yahoo.com;9797 Bald Hill Ave. ;North Tonawanda;NY;14120
75;Abby;Gamble; (505) 499-6489;abby.gamble@aol.com;60 Myers Dr. ;Amityville;NY;11701
76;Parker;Prince; (872) 342-2569;parker.prince@hotmail.com;21 Sulphur Springs Drive ;Port Jefferson Station;NY;11776
77;Keri;Bridges; (919) 701-5608;keri.bridges@gmail.com;8504 Brickell Ave. ;Richardson;TX;75080
78;Chi;Goff; (915) 275-3617;chi.goff@aol.com;3 W. Glen Ridge Avenue ;Palos Verdes Peninsula;CA;90274
79;Ashanti;Parks; (403) 401-0046;ashanti.parks@hotmail.com;846 N. Helen St. ;Baldwin;NY;11510
80;Sarai;Mckee; (410) 449-0236;sarai.mckee@msn.com;641 Glenwood Avenue ;Buffalo;NY;14215
81;Zina;Bonner; (579) 412-1446;zina.bonner@hotmail.com;9312 8th Street ;San Lorenzo;CA;94580
82;Lizzie;Joyner; (518) 779-7793;lizzie.joyner@msn.com;8541 Roberts St. ;Coachella;CA;92236
83;Tiesha;Daniel; (905) 350-0760;tiesha.daniel@yahoo.com;6 West Bohemia Lane ;Scarsdale;NY;10583
84;Armand;Whitehead; (509) 439-5439;armand.whitehead@hotmail.com;639 Harvey St. ;Lindenhurst;NY;11757
85;Teofila;Fischer; (364) 517-9096;teofila.fischer@aol.com;1 West Brickyard St. ;Huntington Station;NY;11746
86;Lissa;Vargas; (864) 762-3873;lissa.vargas@yahoo.com;517 Victoria Ave. ;Oswego;NY;13126
87;Yan;Mcgowan; (980) 643-9255;yan.mcgowan@msn.com;8960 Newport Ave. ;Duarte;CA;91010
88;Titus;Bullock; (213) 003-4420;titus.bullock@gmail.com;29 Oxford Avenue ;Hollis;NY;11423
89;Arvilla;Osborn; (805) 752-8788;arvilla.osborn@gmail.com;60 Acacia Lane ;Upland;CA;91784
90;Marjorie;Logan; (440) 845-0571;marjorie.logan@msn.com;95 Grandrose St. ;Franklin Square;NY;11010
91;Marvin;Mullins; (929) 573-4361;marvin.mullins@aol.com;7489 Redwood Drive ;San Diego;CA;92111
92;Tena;Cruz; (425) 238-6487;tena.cruz@yahoo.com;1 South St. ;Farmingdale;NY;11735
93;Corrina;Sawyer; (947) 067-1155;corrina.sawyer@yahoo.com;95 Briarwood Lane ;Troy;NY;12180
94;Sharyn;Hopkins; (502) 669-1782;sharyn.hopkins@hotmail.com;4 South Temple Ave. ;Baldwinsville;NY;13027
95;Letitia;Franco; (302) 381-9755;letitia.franco@aol.com;607 Lakeview Drive ;Saratoga Springs;NY;12866
96;Floretta;Higgins; (778) 821-2075;floretta.higgins@hotmail.com;870 Lilac Dr. ;Bayside;NY;11361
97;Louanne;Martin; (970) 488-9382;louanne.martin@hotmail.com;1 Campfire Ave. ;Yuba City;CA;95993
98;Violet;Valenzuela; (450) 380-9473;violet.valenzuela@msn.com;8668 Piper Street ;Plattsburgh;NY;12901
99;Carie;Kidd; (512) 374-9277;carie.kidd@yahoo.com;6 East Clinton Street ;Monroe;NY;10950
100;Kellie;Franco; (838) 213-7881;kellie.franco@yahoo.com;444 South Walnut Rd. ;Commack;NY;11725
101;Nichelle;Howell; (587) 609-3657;nichelle.howell@aol.com;7670 Forest St. ;Scarsdale;NY;10583
102;Marisol;Goodman; (216) 141-0525;marisol.goodman@gmail.com;864 East Cherry St. ;Canandaigua;NY;14424
103;Sylvie;Wilkerson; (873) 467-0437;sylvie.wilkerson@yahoo.com;750 Central Ave. ;Syosset;NY;11791
104;Katharina;Bates; (501) 778-6086;katharina.bates@gmail.com;54 South Greenview Drive ;Campbell;CA;95008
105;Marget;Hodge; (236) 294-1785;marget.hodge@msn.com;7199 Selby Lane ;Woodhaven;NY;11421
106;Raul;Melendez; (820) 952-8371;raul.melendez@hotmail.com;9772 Manhattan St. ;Elmhurst;NY;11373
107;Cecil;Hopper; (323) 792-1595;cecil.hopper@yahoo.com;471 Glenlake Ave. ;Central Islip;NY;11722
108;Shae;Hickman; (224) 547-4693;shae.hickman@hotmail.com;740 Pin Oak Street ;Floral Park;NY;11001
109;Monica;Sears; (708) 651-9371;monica.sears@aol.com;57 Glenholme St. ;San Jose;CA;95127
110;Ollie;Zimmerman; (401) 248-9371;ollie.zimmerman@yahoo.com;69 Wood Rd. ;Anaheim;CA;92806
111;Shila;White; (678) 160-8447;shila.white@msn.com;94 Lakeshore Street ;Orchard Park;NY;14127
112;Yuk;Vega; (219) 806-4611;yuk.vega@yahoo.com;413 Wood St. ;West Hempstead;NY;11552
113;Eliana;Silva; (276) 357-0209;eliana.silva@gmail.com;7119 Summer Rd. ;Farmingdale;NY;11735
114;Thalia;Horne; (501) 288-5472;thalia.horne@yahoo.com;9312 Harvard Street ;Amityville;NY;11701
115;Rey;Lindsay; (904) 662-7260;rey.lindsay@gmail.com;16 Philmont St. ;Monroe;NY;10950
116;Merlene;Vinson; (347) 303-9160;merlene.vinson@gmail.com;431 Vine Dr. ;Euless;TX;76039
117;Dacia;William; (317) 568-0939;dacia.william@msn.com;62 Cypress Drive ;Sugar Land;TX;77478
118;Le;Wood; (501) 951-0576;le.wood@yahoo.com;90 Primrose Dr. ;Pittsford;NY;14534
119;Thalia;Dillard; (417) 698-3069;thalia.dillard@yahoo.com;987 NE. Gates Street ;San Angelo;TX;76901
120;Luz;House; (249) 476-1541;luz.house@gmail.com;491 Railroad Street ;Fresno;CA;93706
121;Lucy;Woods; (205) 452-9194;lucy.woods@gmail.com;8437 West Rockaway St. ;Palos Verdes Peninsula;CA;90274
122;Shena;Carter; (585) 373-9390;shena.carter@yahoo.com;72 University Road ;Howard Beach;NY;11414
123;Robena;Hill; (740) 673-3581;robena.hill@hotmail.com;263 Cross St. ;Corpus Christi;TX;78418
124;Jeni;Booker; (281) 970-3202;jeni.booker@gmail.com;546 Railroad Dr. ;South El Monte;CA;91733
125;Herlinda;Stone; (509) 538-2842;herlinda.stone@msn.com;725 Gulf St. ;Canandaigua;NY;14424
126;Lavina;Dejesus; (856) 969-8690;lavina.dejesus@msn.com;59 E. Valley Avenue ;Newburgh;NY;12550
127;Erlinda;Nielsen; (351) 535-6574;erlinda.nielsen@aol.com;728 Oxford Lane ;Maspeth;NY;11378
128;Terrance;Lynn; (778) 379-7686;terrance.lynn@yahoo.com;91 East Buckingham Drive ;Plattsburgh;NY;12901
129;Walton;Dejesus; (951) 373-0186;walton.dejesus@yahoo.com;15 Washington Rd. ;Lockport;NY;14094
130;Wes;Stanton; (639) 400-4834;wes.stanton@msn.com;8662 Tunnel Street ;Troy;NY;12180
131;Tanesha;Hampton; (678) 578-5533;tanesha.hampton@hotmail.com;19 Belmont Ave. ;Syosset;NY;11791
132;Boyd;Irwin; (604) 272-4238;boyd.irwin@hotmail.com;221 Whitemarsh St. ;Hamburg;NY;14075
133;Delbert;Wilkins; (272) 268-0928;delbert.wilkins@aol.com;420 Greenview St. ;Coram;NY;11727
134;Brianna;Moss; (585) 031-5743;brianna.moss@msn.com;4 Longfellow St. ;Hempstead;NY;11550
135;Dorthey;Jackson; (315) 601-7285;dorthey.jackson@msn.com;9768 Brookside St. ;Houston;TX;77016
136;Sarita;Parks; (914) 772-6815;sarita.parks@msn.com;7809 Second Lane ;Forney;TX;75126
137;Shonta;Mercer; (781) 179-4331;shonta.mercer@aol.com;319 NE. La Sierra Avenue ;Massapequa;NY;11758
138;Jone;Bernard; (820) 679-8601;jone.bernard@hotmail.com;99 Longbranch Court ;Anaheim;CA;92806
139;Wanita;Davenport; (717) 240-6818;wanita.davenport@aol.com;525 Dogwood Ave. ;Spring Valley;NY;10977
140;Cleopatra;Tate; (680) 724-4246;cleopatra.tate@aol.com;97 N. Glenwood St. ;East Elmhurst;NY;11369
141;Ramiro;Byers; (862) 302-9967;ramiro.byers@gmail.com;16 Pleasant St. ;Saint Albans;NY;11412
142;Nicholas;Vazquez; (609) 020-3261;nicholas.vazquez@hotmail.com;9 Roosevelt Street ;West Hempstead;NY;11552
143;Janae;Doyle; (531) 355-8368;janae.doyle@gmail.com;760 Rose Ave. ;Jackson Heights;NY;11372
144;Hans;Price; (907) 142-6557;hans.price@hotmail.com;51 Glendale Road ;Port Chester;NY;10573
145;Miquel;Neal; (606) 643-9706;miquel.neal@hotmail.com;9564 Deerfield Lane ;Staten Island;NY;10301
146;Stefany;Potter; (367) 614-7672;stefany.potter@gmail.com;256 South Academy St. ;Saratoga Springs;NY;12866
147;Bernetta;Marquez; (519) 591-2093;bernetta.marquez@hotmail.com;626 E. Dunbar Street ;Smithtown;NY;11787
148;Julee;Woodard; (484) 544-0994;julee.woodard@yahoo.com;869 Summerhouse Dr. ;Richmond Hill;NY;11418
149;Meredith;Bryan; (231) 082-0426;meredith.bryan@hotmail.com;8935 E. Oxford St. ;Spring Valley;NY;10977
150;Weldon;Michael; (901) 827-5013;weldon.michael@hotmail.com;9952 Nut Swamp St. ;Huntington;NY;11743
151;Joesph;Delacruz; (385) 726-1462;joesph.delacruz@aol.com;184 Cypress Street ;Atwater;CA;95301
152;Katherina;Odom; (726) 585-8350;katherina.odom@yahoo.com;897 N. Oak Drive ;Plainview;NY;11803
153;Laraine;Robbins; (405) 666-9928;laraine.robbins@yahoo.com;8214 E. Pin Oak Lane ;San Angelo;TX;76901
154;Jenise;Preston; (770) 353-4028;jenise.preston@yahoo.com;9 Littleton Drive ;Helotes;TX;78023
155;Lory;Page; (586) 962-2364;lory.page@hotmail.com;58 Summerhouse Street ;Bay Shore;NY;11706
156;Charlyn;Cantrell; (814) 443-2941;charlyn.cantrell@yahoo.com;8756 Euclid St. ;West Islip;NY;11795
157;Carola;Rodriquez; (604) 776-1848;carola.rodriquez@hotmail.com;9433 Heritage Lane ;Banning;CA;92220
158;Alane;Kennedy; (479) 003-6819;alane.kennedy@yahoo.com;34 Green Lake Street ;Spring Valley;NY;10977
159;Regina;Burns; (405) 470-4497;regina.burns@aol.com;713 Buckingham St. ;Garland;TX;75043
160;Omer;Estrada; (218) 168-9135;omer.estrada@gmail.com;9 Honey Creek Street ;Rowlett;TX;75088
161;Crystle;Gilliam; (949) 113-6299;crystle.gilliam@yahoo.com;86 Edgewater Road ;Smithtown;NY;11787
162;Kam;Wilder; (325) 800-8095;kam.wilder@hotmail.com;500 West Clay Ave. ;Newburgh;NY;12550
163;Margert;Stevens; (520) 782-6585;margert.stevens@aol.com;502 North Poplar St. ;Rome;NY;13440
164;Tomika;Larson; (956) 678-6378;tomika.larson@yahoo.com;254 Canal St. ;Woodside;NY;11377
165;Jeromy;Burch; (351) 413-0172;jeromy.burch@msn.com;889 Mulberry Street ;San Jose;CA;95127
166;Lena;Mills; (773) 732-0720;lena.mills@yahoo.com;42 Homestead St. ;Woodhaven;NY;11421
167;Loreta;Johnston; (620) 486-3315;loreta.johnston@yahoo.com;39 Lafayette Dr. ;Spring Valley;NY;10977
168;Nettie;Mcdaniel; (256) 041-7418;nettie.mcdaniel@hotmail.com;7004 E. Wakehurst St. ;South Ozone Park;NY;11420
169;Karla;Kirk; (234) 131-8460;karla.kirk@yahoo.com;9718 Harvard Rd. ;Palos Verdes Peninsula;CA;90274
170;Regine;Gonzales; (939) 233-0370;regine.gonzales@gmail.com;798 Court Drive ;Oxnard;CA;93035
171;Miriam;Baker; (806) 350-1526;miriam.baker@hotmail.com;90 Studebaker St. ;Uniondale;NY;11553
172;Jeanie;Kirkland; (571) 855-9891;jeanie.kirkland@aol.com;7643 Old Theatre St. ;Santa Clara;CA;95050
173;Marquerite;Dawson; (515) 549-2334;marquerite.dawson@gmail.com;37 Hamilton Court ;Garland;TX;75043
174;Babara;Ochoa; (213) 862-8847;babara.ochoa@aol.com;872 Smith Store St. ;Scarsdale;NY;10583
175;Nova;Hess; (509) 476-4499;nova.hess@msn.com;773 South Lafayette St. ;Duarte;CA;91010
176;Carley;Reynolds; (308) 163-0393;carley.reynolds@gmail.com;2 Snake Hill Drive ;South El Monte;CA;91733
177;Carissa;Foreman; (408) 017-0053;carissa.foreman@msn.com;69C N. Ridge Rd. ;Maspeth;NY;11378
178;Genoveva;Tyler; (517) 584-1185;genoveva.tyler@gmail.com;8121 Windfall Ave. ;New York;NY;10002
179;Deane;Sears; (360) 067-7630;deane.sears@hotmail.com;3 Bradford Court ;Pittsford;NY;14534
180;Karey;Steele; (561) 643-1761;karey.steele@gmail.com;8879 Kent Lane ;Farmingdale;NY;11735
181;Olevia;Pitts; (941) 921-9631;olevia.pitts@gmail.com;39 Fieldstone Drive ;Redondo Beach;CA;90278
182;Jenniffer;Bullock; (865) 386-5856;jenniffer.bullock@msn.com;38 Oxford Avenue ;Bay Shore;NY;11706
183;Jeniffer;Ratliff; (612) 264-0446;jeniffer.ratliff@gmail.com;510 Rocky River Court ;Floral Park;NY;11001
184;Klara;Stanley; (435) 488-9181;klara.stanley@aol.com;603 Mechanic St. ;Webster;NY;14580
185;Morton;Lee; (507) 292-9621;morton.lee@yahoo.com;313 Ridge St. ;San Angelo;TX;76901
186;Ken;Charles; (910) 000-1610;ken.charles@msn.com;9124 W. Piper Lane ;Monsey;NY;10952
187;Hedwig;Paul; (720) 280-9141;hedwig.paul@msn.com;422 Manor Ave. ;Apple Valley;CA;92307
188;Sharla;Flynn; (512) 518-3437;sharla.flynn@hotmail.com;7 Brown Drive ;Oxnard;CA;93035
189;Damian;Dawson; (873) 532-9838;damian.dawson@hotmail.com;528 St Margarets Street ;Liverpool;NY;13090
190;Toya;Pratt; (806) 950-5181;toya.pratt@yahoo.com;485 San Pablo Drive ;Long Beach;NY;11561
191;Graciela;Barber; (478) 311-5478;graciela.barber@hotmail.com;1 E. Young St. ;Oxnard;CA;93035
192;Bong;Hebert; (860) 378-9734;bong.hebert@gmail.com;545 Brook St. ;Torrance;CA;90505
193;Ayanna;Rhodes; (469) 228-9683;ayanna.rhodes@msn.com;7425 Pheasant St. ;Hicksville;NY;11801
194;Dorine;Roberson; (337) 509-8251;dorine.roberson@msn.com;396 Meadowbrook Lane ;Santa Cruz;CA;95060
195;Addie;Hahn; (778) 728-6018;addie.hahn@hotmail.com;8165 Baker Ave. ;Franklin Square;NY;11010
196;Edythe;Valencia; (845) 524-3044;edythe.valencia@yahoo.com;9346 Wall St. ;North Tonawanda;NY;14120
197;Andy;O'neill; (856) 493-6961;andy.o'neill@msn.com;9544 Mulberry Drive ;Rego Park;NY;11374
198;Luis;Tyler; (507) 903-9846;luis.tyler@gmail.com;9568 Campfire Circle ;Amarillo;TX;79106
199;Clelia;Workman; (716) 464-7898;clelia.workman@yahoo.com;620 North Somerset St. ;New Windsor;NY;12553
200;Ashely;Holmes; (646) 251-0904;ashely.holmes@aol.com;45 High Ridge Ave. ;Farmingdale;NY;11735
201;Candis;Harding; (858) 006-7274;candis.harding@gmail.com;33 NW. Cambridge Ave. ;Ballston Spa;NY;12020
202;Marni;Bolton; (919) 226-6354;marni.bolton@msn.com;7469 Plymouth Ave. ;Lancaster;NY;14086
203;Minerva;Decker; (938) 368-1328;minerva.decker@yahoo.com;794 Greenrose Street ;Houston;TX;77016
204;Alpha;King; (913) 940-6516;alpha.king@hotmail.com;14 Henry Smith St. ;Rockville Centre;NY;11570
205;Harris;Pittman; (424) 072-8311;harris.pittman@yahoo.com;404 Cherry Hill Road ;Jamaica;NY;11432
206;Stephaine;Riddle; (986) 213-3080;stephaine.riddle@hotmail.com;199 Vermont Court ;Brooklyn;NY;11201
207;Michel;Blankenship; (857) 002-1002;michel.blankenship@msn.com;382 West Hill Dr. ;Forney;TX;75126
208;Denis;Logan; (978) 902-0005;denis.logan@msn.com;121 Rockcrest Street ;Ridgecrest;CA;93555
209;Jutta;Everett; (224) 603-6400;jutta.everett@gmail.com;27 Taylor Ave. ;Selden;NY;11784
210;Priscilla;Wilkins; (803) 669-9251;priscilla.wilkins@aol.com;653 Pawnee Rd. ;Albany;NY;12203
211;Gilma;Dejesus; (763) 894-5662;gilma.dejesus@yahoo.com;777 Thompson Ave. ;Scarsdale;NY;10583
212;Buford;Bridges; (848) 220-3636;buford.bridges@msn.com;239 Oak Valley Court ;Troy;NY;12180
213;Elenore;Hensley; (862) 771-8257;elenore.hensley@hotmail.com;7037 Aspen St. ;Hamburg;NY;14075
214;Ross;Pugh; (867) 652-1944;ross.pugh@msn.com;8598 Saxon St. ;North Tonawanda;NY;14120
215;Judith;Finley; (959) 670-9547;judith.finley@hotmail.com;474 West Bank Road ;Whitestone;NY;11357
216;Wai;Soto; (754) 148-1137;wai.soto@msn.com;30 Arch Drive ;Bethpage;NY;11714
217;Carline;Collier; (816) 692-9279;carline.collier@msn.com;28 Trenton Lane ;Fresno;CA;93706
218;Casey;Gill; (646) 843-4562;casey.gill@gmail.com;636 Prospect Avenue ;Port Washington;NY;11050
219;Darcie;Morgan; (928) 485-8150;darcie.morgan@aol.com;476 East Adams Ave. ;Oceanside;NY;11572
220;Lucio;Sherman; (613) 025-4789;lucio.sherman@gmail.com;842 Corona Ave. ;Smithtown;NY;11787
221;Clementine;Mooney; (925) 014-1874;clementine.mooney@yahoo.com;678 Charles Court ;Mcallen;TX;78501
222;Anya;Contreras; (534) 776-3919;anya.contreras@msn.com;38 Old Fairground St. ;East Northport;NY;11731
223;Scarlet;Yates; (418) 821-2857;scarlet.yates@hotmail.com;687 Shirley St. ;Patchogue;NY;11772
224;Moses;Pope; (854) 592-3571;moses.pope@yahoo.com;654 Theatre Street ;Lawndale;CA;90260
225;Barbera;Riggs; (936) 392-8472;barbera.riggs@aol.com;12 Gartner Drive ;Plainview;NY;11803
226;Kiana;Rivera; (608) 973-3556;kiana.rivera@gmail.com;9 Sheffield Dr. ;Richmond Hill;NY;11418
227;Danielle;Bond; (541) 154-4702;danielle.bond@msn.com;8589 Shub Farm Street ;Patchogue;NY;11772
228;Whitney;Estes; (218) 436-4689;whitney.estes@gmail.com;454 Bear Hill Street ;Brentwood;NY;11717
229;Molly;Langley; (302) 392-4993;molly.langley@aol.com;63 Bridgeton Street ;Holbrook;NY;11741
230;Chelsey;Hardin; (409) 111-0488;chelsey.hardin@hotmail.com;13 Brickyard Street ;Deer Park;NY;11729
231;Jenee;Rasmussen; (210) 739-1391;jenee.rasmussen@hotmail.com;19 George Lane ;Sacramento;CA;95820
232;Freddie;Mathis; (812) 379-9656;freddie.mathis@hotmail.com;31 Shady St. ;Euless;TX;76039
233;Mariana;Strong; (901) 481-4057;mariana.strong@msn.com;972 Dunbar Dr. ;Santa Clara;CA;95050
234;Winfred;Harris; (782) 511-8697;winfred.harris@msn.com;734 Glen Eagles St. ;East Meadow;NY;11554
235;Jeromy;Elliott; (367) 998-8401;jeromy.elliott@gmail.com;7112 Laurel Street ;Bay Shore;NY;11706
236;Verona;O'neill; (814) 724-1562;verona.o'neill@hotmail.com;8279 W. Sussex St. ;Selden;NY;11784
237;Elvera;Peck; (914) 060-1269;elvera.peck@yahoo.com;759 Lakewood Street ;Banning;CA;92220
238;Cindi;Larson; (972) 026-1178;cindi.larson@msn.com;896 Golden Star Rd. ;Howard Beach;NY;11414
239;Felice;Guzman; (562) 283-7784;felice.guzman@hotmail.com;7 Creekside Lane ;Canyon Country;CA;91387
240;Le;Deleon; (509) 524-8261;le.deleon@msn.com;58 Clark Court ;Banning;CA;92220
